context_length,packing,block_size,layers,calibrated_layer_compute_ms,estimated_layer_budget_cost,no_bootstrap_final_budget,dynamic_bootstraps,dynamic_bootstrap_layers,fixed_bootstraps,dynamic_total_ms,fixed_total_ms,dynamic_vs_fixed_speedup
4,block-wise,2,12,9.764930725097656,7.448289214233104,90.62052942920275,0,none,2,117.17916870117188,60117.17916870117,513.0364025879965
4,block-wise,4,12,9.619860887527466,6.898289214233104,97.22052942920274,0,none,2,115.43833065032959,60115.43833065033,520.7580358446451
4,block-wise,8,12,9.598819732666016,6.898289214233104,97.22052942920274,0,none,2,115.18583679199219,60115.18583679199,521.8973748079004
4,token-wise,1,12,14.037374456723532,8.548289214233103,77.42052942920276,0,none,2,168.44849348068237,60168.44849348068,357.19196562823987
8,block-wise,2,12,19.63667968908946,8.675488750216346,75.89413499740385,0,none,2,235.6401562690735,60235.64015626907,255.62553136099189
8,block-wise,4,12,19.25993088881175,7.575488750216347,89.09413499740384,0,none,2,231.11917066574097,60231.11917066574,260.60633134486176
8,block-wise,8,12,20.376612464586895,7.025488750216347,95.69413499740384,0,none,2,244.51934957504272,60244.51934957504,246.37935383958668
8,token-wise,1,12,27.860430598258972,10.875488750216347,49.49413499740385,0,none,2,334.32516717910767,60334.32516717911,180.4659986451342
16,block-wise,2,12,38.914056619008385,11.01311942618755,47.84256688574939,0,none,2,466.9686794281006,60466.9686794281,129.48827478854122
16,block-wise,4,12,38.48497295379639,8.81311942618755,74.2425668857494,0,none,2,461.81967544555664,60461.81967544556,130.92083964831707
16,block-wise,8,12,40.65391647815704,7.713119426187551,87.44256688574939,0,none,2,487.8469977378845,60487.846997737885,123.9893804373424
16,token-wise,1,12,55.5558629433314,15.413119426187551,-4.95743311425062,1,10,2,30666.670355319977,60666.67035531998,1.9782607518978883
32,block-wise,2,12,78.66904079914093,15.556659117903768,-6.679909414845213,1,9,2,30944.02848958969,60944.02848958969,1.969492385585565
32,block-wise,4,12,77.60408480962117,11.156659117903768,46.1200905851548,0,none,2,931.2490177154541,60931.249017715454,65.42959816182398
32,block-wise,8,12,81.86768047014873,8.956659117903767,72.5200905851548,0,none,2,982.4121656417847,60982.412165641785,62.0741622492058
32,token-wise,1,12,112.19098615646362,24.35665911790377,-112.27990941484524,2,"6,11",2,61346.29183387756,61346.29183387756,1.0
