context_length,trial,packing,block_size,d_head,poly_modulus_degree,slots,modulus_chain_bits,global_scale_bits,encrypt_ms,compute_ms,decrypt_ms,serialize_ms,end_to_end_ms,ciphertext_bytes,cache_ciphertexts,query_ciphertexts,score_ciphertexts,ct_ct_mul_ops,slot_sum_ops,mask_mul_ops,score_l2_error,score_linf_error,score_mean_abs_error
4,0,token-wise,1,16,8192,4096,200,40,8.747876167297363,14.22179090976715,1.3035832643508911,7.048206806182861,24.273250341415405,1671550.0,4.0,1.0,4.0,4.0,4.0,0.0,2.513324334622733e-06,1.29680445071223e-06,1.2558800282294613e-06
4,0,block-wise,2,16,8192,4096,200,40,6.323916077613831,9.780042171478271,0.6567509174346924,4.882833957672119,16.760709166526794,1337222.0,2.0,2.0,4.0,2.0,4.0,4.0,3.6504172023472705e-06,2.164023073070176e-06,1.786357921196302e-06
4,0,block-wise,4,16,8192,4096,200,40,3.114542007446289,9.645333766937256,0.6491249799728394,2.2399160861968994,13.409000754356384,668743.0,1.0,1.0,4.0,1.0,4.0,4.0,2.7736393997669704e-06,1.7398342418983859e-06,1.3308629324068622e-06
4,0,block-wise,8,16,8192,4096,200,40,3.2617499828338623,9.647585272789001,0.6481670141220093,2.0450838804244995,13.557502269744873,668328.0,1.0,1.0,4.0,1.0,4.0,4.0,2.8189412447398785e-06,1.7732349569810069e-06,1.360675409067813e-06
4,1,token-wise,1,16,8192,4096,200,40,8.15112292766571,13.899458765983582,1.2675000429153442,5.60670804977417,23.318081736564636,1672114.0,4.0,1.0,4.0,4.0,4.0,0.0,2.3168148154892437e-06,1.1949437631053605e-06,1.1579539106326697e-06
4,1,block-wise,2,16,8192,4096,200,40,6.5599589347839355,9.57700002193451,0.632918119430542,4.199415802955627,16.769877076148987,1337004.0,2.0,2.0,4.0,2.0,4.0,4.0,2.312011374349944e-06,1.2651359949100716e-06,1.1525200680137515e-06
4,1,block-wise,4,16,8192,4096,200,40,3.353000044822693,9.59041690826416,0.6415836811065674,2.353208065032959,13.58500063419342,668731.0,1.0,1.0,4.0,1.0,4.0,4.0,1.4365863667484015e-06,8.203713627030762e-07,7.146386119330495e-07
4,1,block-wise,8,16,8192,4096,200,40,3.3067080974578857,9.556581974029541,0.6411250829696655,1.947709083557129,13.504415154457092,668234.0,1.0,1.0,4.0,1.0,4.0,4.0,1.4371797176511015e-06,8.563735259536909e-07,7.095944884807914e-07
4,2,token-wise,1,16,8192,4096,200,40,8.176332950592041,13.99087369441986,1.2549991607666016,5.567000985145569,23.422205805778503,1671266.0,4.0,1.0,4.0,4.0,4.0,0.0,2.3608009085692517e-06,1.2126277271762298e-06,1.1801519254929504e-06
4,2,block-wise,2,16,8192,4096,200,40,6.611624240875244,9.937749981880188,0.6410411596298218,4.133208990097046,17.190415382385254,1336433.0,2.0,2.0,4.0,2.0,4.0,4.0,2.762133618045634e-06,1.5444017506527352e-06,1.3735523837314634e-06
