context_length,trial,softmax_proxy_degree,context_l2_error,context_linf_error
4,0,2,0.028028386919321926,0.012317792478250489
4,0,3,0.004445597816358928,0.0020657571540369513
4,1,2,0.09286871594482399,0.03977451465403957
4,1,3,0.038821561620217576,0.015770474384293576
8,0,2,0.014673924634190521,0.006209477478174186
8,0,3,0.002320874503097293,0.0009656744017186025
8,1,2,0.10194645872528872,0.041269816627434425
8,1,3,0.034867647145782436,0.013653446672571623
16,0,2,0.045306928393423256,0.021855270213881672
16,0,3,0.011572056433281528,0.005240006483911264
16,1,2,0.09302009995799393,0.03849167012589516
16,1,3,0.030027901445827853,0.012596088456264087
